appid,review_count,avg_playtime_hours,median_playtime_hours,recommended_rate,release_year,game_name
30,45,10.102222222222222,2.0166666666666666,0.8222222222222222,2003,Day of Defeat
300,37,32.56126126126126,8.1,0.8648648648648649,2010,Day of Defeat: Source
420,46,14.578623188405798,6.391666666666667,0.9565217391304348,2007,Half-Life 2: Episode Two
1530,64,11.516666666666666,6.216666666666667,0.859375,2008,Multiwinia
1600,66,32.32449494949495,14.975000000000001,0.8484848484848485,2006,Dangerous Waters
1700,75,17.264888888888887,15.7,0.84,2007,Arx Fatalis
2320,69,23.60024154589372,9.15,0.8840579710144928,2007,Quake II
3010,60,5.549444444444445,2.525,0.85,2006,Xpand Rally
3330,39,83.72521367521368,2.4833333333333334,0.8461538461538461,2006,Zuma Deluxe
3500,38,11.694736842105263,8.35,0.7105263157894737,2007,Mystery P.I.™ - The Lottery Ticket
4000,18,112.80555555555556,52.483333333333334,0.9444444444444444,2006,Garry's Mod
4500,60,27.32027777777778,12.450000000000001,0.48333333333333334,2007,S.T.A.L.K.E.R.: Shadow of Chernobyl
6120,55,8.477272727272727,4.65,0.9090909090909091,2010,Shank
6200,74,17.761036036036035,9.066666666666666,0.8783783783783784,2006,Ghost Master®
6250,67,84.31965174129354,24.816666666666663,0.6268656716417911,2007,Making History: The Calm & the Storm
7940,45,28.612962962962968,6.366666666666666,0.9333333333333333,2007,Call of Duty® 4: Modern Warfare® (2007)
11040,79,10.963502109704642,10.7,0.6329113924050633,2008,Sherlock Holmes - Nemesis
11240,73,9.46255707762557,4.133333333333334,0.6027397260273972,2008,Space Trader: Merchant Marine
11340,69,11.154106280193236,7.233333333333333,0.7536231884057971,2009,Larva Mortus
11370,76,4.690789473684211,3.658333333333333,0.4342105263157895,2009,Nikopol: Secrets of the Immortals
11450,61,14.819945355191257,8.216666666666667,0.9180327868852459,2007,Overlord™
12140,59,12.95141242937853,8.183333333333334,0.8135593220338984,2011,Max Payne
12460,31,15.002150537634408,3.433333333333333,0.7419354838709677,2009,BC Kings
12900,66,32.86616161616161,8.1,0.8787878787878788,2008,AudioSurf
15270,73,5.431050228310502,5.233333333333333,0.7671232876712328,2008,Cold Fear™
15380,55,32.903030303030306,18.45,0.7818181818181819,2008,Heroes of Might & Magic V: Hammers of Fate
15500,79,5.741561181434599,3.3,0.8860759493670886,2008,The Wonderful End of the World
