appid,name,type,release_date,required_age,developers,publishers,genres,price,metacritic_score,recommendations,achievements,year,owners_estimate,players_forever,average_playtime,median_playtime,tags,positive_reviews,negative_reviews
20200,Galactic Bowling,game,"Oct 21, 2008",0,Perpetual FX Creative,Perpetual FX Creative,"Casual, Indie, Sports",19.99,,,0,2008,"0 .. 20,000",,54,54,"Indie, Casual, Sports, Bowling",7,12
655370,Train Bandit,game,"Oct 12, 2017",0,Rusty Moyher,Wild Rooster,"Action, Indie",0.99,,,0,2017,"0 .. 20,000",,4,4,"Indie, Action, Pixel Graphics, 2D, Retro",74,9
320150,Deadlings: Rotten Edition,game,"Nov 11, 2014",0,ONE MORE LEVEL,ONE MORE LEVEL,"Action, Adventure, Indie",3.99,,,0,2014,"50,000 .. 100,000",,121,142,"Action, Indie, Adventure, Puzzle-Platformer, Arcade",226,44
1026420,WARSAW RISING: City of Heroes,game,"Oct 2, 2019",0,"Pixelated Milk, Retrovibe Games",Instytut Pamięci Narodowej,"Indie, RPG, Free To Play",0.0,,541.0,0,2019,"20,000 .. 50,000",,360,189,"Tactical RPG, Wargame, Turn-Based Strategy, Historical, Strategy RPG",864,461
485000,Cthulhu Realms,game,"Jul 1, 2016",0,"Wise Wizard Games, LLC","Wise Wizard Games, LLC",Strategy,0.0,,,0,2016,"50,000 .. 100,000",,1521,1521,"Card Game, Strategy, Deckbuilding, Lovecraftian, Free to Play",164,63
22670,Alien Breed 3: Descent,game,"Nov 17, 2010",0,Team17 Digital Ltd,Team17 Digital Ltd,Action,1.99,64.0,366.0,0,2010,"200,000 .. 500,000",,65,32,"Action, Shooter, Isometric, Aliens, Sci-fi",431,147
346560,Hero of the Kingdom II,game,"Feb 20, 2015",0,Lonely Troops,Lonely Troops,"Adventure, Casual, Indie, RPG",8.99,,1842.0,0,2015,"100,000 .. 200,000",,321,254,"Adventure, Casual, Point & Click, RPG, Indie",2313,139
1097880,Super Naughty Maid 2,game,"Jun 20, 2019",0,KENZsoft,Denpasoft,"Casual, Indie",11.19,,1257.0,0,2019,"0 .. 20,000",,37,35,,0,0
290870,Steam Squad,game,"Jul 28, 2016",0,Bretwalda Games,Bretwalda Games,"Indie, Strategy",17.99,,,0,2016,"0 .. 20,000",,0,0,"Strategy, Indie, Turn-Based, World War I, Steampunk",58,31
575760,Project: R.E.B.O.O.T 2,game,"Jan 27, 2017",0,Volens Nolens Games,Volens Nolens Games,"Action, Adventure, Casual, Indie",0.99,,,0,2017,"20,000 .. 50,000",,253,222,"Action, Adventure, Casual, Indie, Platformer",48,43
434030,Aerofly FS 2 Flight Simulator,game,"Nov 20, 2017",0,IPACS,IPACS,"Action, Indie, Racing, Simulation",49.99,,1945.0,0,2017,"200,000 .. 500,000",,1682,1709,"Flight, Simulation, VR, Racing, Open World",1580,422
810740,Turtle Lu,game,"Mar 22, 2018",0,Falco Software,,"Action, Adventure, Casual, Indie",2.99,,,0,2018,"20,000 .. 50,000",,0,0,"Action, Adventure, Indie, Casual, Platformer",7,10
677880,Draw Your Game,game,"Aug 10, 2017",0,Zero One,Zero One,Casual,0.0,,,0,2017,"0 .. 20,000",,0,0,"Casual, Platformer, Hand-drawn",19,59
793990,Dupio,game,"Mar 6, 2018",0,NedoStudio,NedoStudio,"Casual, Indie",4.99,,,0,2018,"0 .. 20,000",,0,0,"Indie, Casual",26,21
